property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Godrej Nature Plus,sector 33,1.35,8670,1557,Super Built up area 1557(144.65 sq.m.),3,2,3+,17,na,New Property,1557.0,,,0,0,0,0,0,1,38
flat,The Lions Cghs,sector 56,2.1,8750,2400,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,8,west,Old,2400.0,2200.0,2000.0,0,0,0,0,1,0,166
flat,Indiabulls Centrum Park,sector 103,1.2,8432,1423,Super Built up area 1423(132.2 sq.m.),2,2,3,3,north-east,Moderately Old,1423.0,,,0,0,0,0,0,1,26
flat,Aardhya Homesh,sector 67a,1.85,8043,2300,Carpet area: 2300 (213.68 sq.m.),4,1,0,4,east,Undefined,,,2300.0,0,0,0,0,0,1,0
house,Independent,sector 7,2.0,11111,1797,Plot area 200(167.23 sq.m.),2,2,,2,na,Relatively New,,1804.0,,0,0,0,0,0,1,0
flat,Meditech Apartment,sector 56,2.45,8166,3000,Super Built up area 3000(278.71 sq.m.)Built Up area: 2900 sq.ft. (269.42 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,4,3+,1,west,Relatively New,3000.0,2900.0,2800.0,0,0,0,0,1,0,118
house,Ansal Height Heights Florence Villa,sector 57,3.65,10579,3455,Plot area 3450(320.52 sq.m.),6,2,,3,north-west,Moderately Old,,3450.0,,1,1,1,1,0,2,152
flat,Emaar Palm Gardens,sector 83,1.72,9052,1900,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,1,3,4,south,Relatively New,1900.0,1600.0,1240.0,0,1,0,0,0,0,165
flat,Silverglades The Melia,sohna road,0.75,5555,1350,Built Up area: 1350 (125.42 sq.m.),2,2,2,4,na,Moderately Old,,1350.0,,0,0,0,0,0,1,70
flat,Smart World Orchard,sector 61,2.0,12911,1549,Carpet area: 1549 (143.91 sq.m.),3,3,2,3,na,New Property,,,1549.0,0,0,0,0,1,1,61
flat,Vatika City,sector 49,2.1,10418,2016,Super Built up area 2015.58(187.25 sq.m.)Built Up area: 1604.25 sq.ft. (149.04 sq.m.),3,3,3,9,south,Moderately Old,1604.0,1604.0,,0,0,0,1,0,0,132
flat,AIPL Zen Residences,sector 70a,1.65,13074,1262,Super Built up area 1262(117.24 sq.m.),2,2,3,23,north-west,New Property,1262.0,,,0,0,0,0,0,1,81
house,Unitech Uniworld Resorts,sector 33,8.0,11428,6996,Plot area 7000(650.32 sq.m.),4,4,,2,west,Old,,7000.0,,1,1,1,1,0,1,77
