property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,M Merlin,sector 67,3.5,14843,2358,Super Built up area 2358(219.07 sq.m.),3,4,3+,15,south,Relatively New,2358.0,,,0,1,0,0,0,0,158
house,Independent,sector 57,7.25,26835,2701,Plot area 300(250.84 sq.m.),4,2,,2,north-east,New Property,,2706.0,,0,1,0,1,1,0,49
flat,Godrej Air,sector 85,1.4,10000,1400,Built Up area: 1400 (130.06 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,23,na,Undefined,,1400.0,900.0,0,0,0,0,0,1,44
flat,Pivotal Devaan,sector 84,0.34,5831,5247,Super Built up area 583(54.16 sq.m.)Carpet area: 484 sq.ft. (44.97 sq.m.),2,2,1,3,east,Relatively New,583.0,,484.0,0,0,1,0,0,1,75
flat,Vatika,sector 83,1.18,6801,1735,Super Built up area 1735(161.19 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,14,north,Relatively New,1735.0,,1500.0,0,0,0,0,0,1,26
flat,Tata Primanti,sector 72,3.21,16050,2000,Super Built up area 2185(202.99 sq.m.)Built Up area: 2140 sq.ft. (198.81 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,15,north-east,Relatively New,2185.0,2140.0,2000.0,0,1,0,0,0,0,174
flat,Central Park Flower Valley,sector 33,1.4,21538,5850,Super Built up area 650(60.39 sq.m.),3,3,3,2,na,New Property,650.0,,,0,0,0,0,0,1,54
flat,Emaar  Greens,sector 102,1.6,9696,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,8,na,Relatively New,1650.0,,1023.0,0,0,0,0,0,1,46
flat,Elan The Presidential,sector 106,6.3,15384,4095,Super Built up area 4095(380.44 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),5,2,3+,10,north-east,Under Construction,4095.0,,3500.0,0,0,0,0,0,0,62
house,Independent,sector 56,4.0,26544,1506,Plot area 167(139.63 sq.m.),4,4,,2,na,Relatively New,,1506.0,,0,0,0,0,0,0,24
flat,Apna Enclave,sector 3,0.8,6153,1300,Super Built up area 1300(120.77 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.),3,3,1,0,na,Old,1300.0,1000.0,,0,0,0,0,0,1,0
flat,Supertech Araville,sector 79,0.78,6023,1295,Super Built up area 1295(120.31 sq.m.),2,2,3+,17,na,Relatively New,1295.0,,,0,0,0,0,0,1,24
house,Independent,sector 55,9.19,34015,2701,Plot area 300(250.84 sq.m.),4,2,,4,west,New Property,,2706.0,,0,1,0,1,0,0,49
flat,Imperia The Esfera,sector 37c,0.9,6272,1435,Built Up area: 1435 (133.32 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,3,9,east,Undefined,,1435.0,1100.0,0,0,0,0,0,1,66
house,Independent,sector 15 part 2,7.2,22222,3229,Plot area 359(300.17 sq.m.),3,3,,1,north,Old,,3238.0,,0,0,1,0,0,1,67
house,Independent,sector 7,2.25,15625,1442,Plot area 160(133.78 sq.m.),3,3,,2,north-west,Old,,1443.0,,0,0,0,0,0,0,27
house,Independent,new gurgaon,1.0,8796,1076,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),3,2,,1,north,Old,,1082.0,100.0,0,0,0,1,0,1,0
house,International City By Sobha Phase,sector 109,5.85,26383,2217,Plot area 246(205.69 sq.m.),4,2,,2,east,Relatively New,,2219.0,,0,1,0,0,0,0,85
flat,Smart World Orchard,sector 61,2.24,14460,1549,Super Built up area 1549(143.91 sq.m.),3,3,2,3,na,New Property,1549.0,,,0,0,0,0,1,1,61
flat,Alpha Corp One,sector 84,2.24,6523,3434,Super Built up area 3434(319.03 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4,4,3,12,west,Relatively New,3434.0,,2900.0,0,1,0,0,0,1,20
flat,Vatika Sovereign Park,sector 99,2.45,8812,2780,Super Built up area 2780(258.27 sq.m.),3,4,3,1,east,New Property,2780.0,,,0,1,0,0,0,0,165
flat,Sare Crescent Parc,sector 92,0.8,4210,1900,Super Built up area 1900(176.52 sq.m.),4,3,2,10,east,Relatively New,1900.0,,,0,0,0,0,1,1,37
flat,AIPL Zen Residences,sector 70a,1.34,10276,1304,Super Built up area 1304(121.15 sq.m.),2,2,3+,17,east,New Property,1304.0,,,0,0,0,0,0,0,110
flat,Maxworth City Residences,sector 10a,0.9,7083,1271,Super Built up area 1200(111.48 sq.m.),2,2,3,9,east,New Property,1200.0,,,0,0,0,0,1,1,52
flat,BPTP Terra,sector 37d,1.67,7622,2191,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,4,3,11,west,Relatively New,2191.0,2091.0,1991.0,0,0,0,0,0,0,149
flat,Tulip Petals,sector 89,1.55,10000,1550,Super Built up area 1550(144 sq.m.),3,2,3,6,east,Moderately Old,1550.0,,,0,0,1,0,0,0,111
flat,Signature Global Solera,sector 107,0.6,8000,6750,Built Up area: 750 (69.68 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),3,2,2,8,na,Undefined,,750.0,650.0,0,0,0,0,0,1,55
flat,Ireo Victory Valley,sector 67,3.05,12650,2411,Super Built up area 2411(223.99 sq.m.)Carpet area: 1688 sq.ft. (156.82 sq.m.),3,3,3+,21,south-west,Relatively New,2411.0,,1688.0,0,1,0,0,0,0,157
flat,AFNHB Jalvayu Vihar,sector 30,0.85,12859,5949,Carpet area: 661 (61.41 sq.m.),2,2,1,2,west,Old,,,661.0,0,0,0,0,1,0,49
flat,Birla Navya,sector 63a,3.3,15348,2150,Super Built up area 2150(199.74 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,1,3,4,west,New Property,2150.0,,1200.0,0,1,0,0,0,1,52
flat,Emaar  Greens,sector 102,1.38,13495,1023,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,6,north-east,Relatively New,1650.0,,1023.0,0,1,0,0,0,0,128
flat,Breez Global Heights,sohna road,0.46,6478,6390,Carpet area: 710 (65.96 sq.m.),2,2,2,6,east,Relatively New,,,710.0,0,0,0,0,0,2,49
flat,Shree Vardhman Flora,sector 90,0.65,4814,1350,Super Built up area 1350(125.42 sq.m.),2,2,3,6,west,Relatively New,1350.0,,,1,0,0,0,0,1,174
house,Independent,sector 43,2.25,7500,4932,Plot area 550(51.1 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.),2,3,,5,west,New Property,,3000.0,,0,0,0,0,1,2,28
flat,Signature Global Park,sohna road,0.85,7863,1081,Super Built up area 1081(100.43 sq.m.)Built Up area: 1080 sq.ft. (100.34 sq.m.)Carpet area: 670 sq.ft. (62.25 sq.m.),3,2,2,4,east,New Property,1081.0,1080.0,670.0,0,0,0,0,0,1,23
flat,Bhemerlei,sohna road,0.69,5100,1353,Built Up area: 1350 (125.42 sq.m.),2,2,2,3,na,Undefined,,1350.0,,0,0,0,0,0,1,0
house,Independent,sector 13,0.5,10323,4356,Plot area 55(5.11 sq.m.),3,1,,4,na,Old,,55.0,,0,0,0,0,0,1,15
flat,Bestech Park View Residency,sector 2,1.55,8072,1920,Super Built up area 1920(178.37 sq.m.),3,4,3+,10,east,Moderately Old,1920.0,,,0,1,0,0,0,1,100
house,DLF New Town Heights,sector 91,2.5,7058,3401,Plot area 3400(315.87 sq.m.),4,4,,3,east,Moderately Old,,3400.0,,1,1,1,1,0,0,80
flat,Greenopolis,sector 89,1.3,6806,1910,Carpet area: 1910 (177.44 sq.m.),3,3,3+,1,south-west,New Property,,,1910.0,0,1,0,0,0,1,35
house,Independent,sector 39,5.15,14072,3659,Built Up area: 340,5,2,,1,na,Relatively New,,3638.0,,0,0,0,0,0,1,0
flat,DLF New Town Heights,sector 86,1.27,6580,1930,Super Built up area 1930(179.3 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,4,3,19,south-west,Relatively New,1930.0,1800.0,1450.0,0,1,0,1,0,1,126
flat,Emaar MGF Emerald Floors Premier,sector 65,2.9,14683,1975,Super Built up area 1975(183.48 sq.m.),4,1,3+,4,north-east,Relatively New,1975.0,,,1,1,0,0,0,0,152
house,Ashok Vihar Phase Iii Extension,sector 3,0.4,8889,4068,Plot area 50(41.81 sq.m.),1,1,,4,na,New Property,,451.0,,0,0,0,1,0,1,7
flat,Shree Vardhman Victoria,sector 70,1.64,8384,1956,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,2,3,3,north,Relatively New,1950.0,,1161.0,0,1,0,0,0,1,51
flat,Experion The Heartsong,sector 108,1.3,8344,1558,Super Built up area 1758(163.32 sq.m.)Carpet area: 1558 sq.ft. (144.74 sq.m.),3,3,3+,7,south-west,Relatively New,1758.0,,1558.0,1,0,0,0,0,1,150
flat,Ireo Victory Valley,sector 67,2.87,11903,2411,Super Built up area 2411(223.99 sq.m.)Carpet area: 1808 sq.ft. (167.97 sq.m.),3,3,3+,16,north-west,Relatively New,2411.0,,1808.0,0,1,0,0,0,0,174
flat,Shree Vardhman Victoria,sector 70,1.65,8461,1950,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),3,2,3,1,north,Relatively New,1950.0,,1267.0,0,1,0,0,0,2,167
flat,M Woodshire,sector 107,0.82,6002,1366,Super Built up area 1366(126.91 sq.m.),2,2,3+,7,north-east,Relatively New,1366.0,,,0,0,0,0,0,1,111
house,International City By Sobha Phase,sector 109,5.65,10463,5403,Plot area 600(501.68 sq.m.),4,4,,2,north-east,New Property,,5411.0,,0,1,0,0,1,0,44
flat,Emaar Palm Heights,sector 77,2.25,11250,2000,Super Built up area 2000(185.81 sq.m.),3,3,3,22,na,New Property,2000.0,,,0,1,0,0,0,0,42
flat,Ramprastha Skyz,sector 37d,1.1,6376,1725,Super Built up area 1725(160.26 sq.m.),3,3,3+,7,east,New Property,1725.0,,,0,0,0,0,0,1,109
flat,Conscient Elevate,sector 59,4.25,18518,2295,Super Built up area 2295(213.21 sq.m.),3,4,3,3,na,New Property,2295.0,,,0,0,0,0,0,1,0
flat,Sukhshanti Apartment,sector 56,1.7,7727,2200,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,1,3,4,south,Moderately Old,,2200.0,1610.0,1,0,0,0,0,1,49
house,Independent,sector 7,2.43,14890,1636,Plot area 181.33(151.61 sq.m.)Built Up area: 345 sq.yards (288.46 sq.m.),4,4,,3,south-west,Old,,345.0,,1,0,1,1,0,1,38
flat,BPTP Terra,sector 37d,1.55,7074,2191,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,3+,19,north-east,Relatively New,2191.0,2100.0,1800.0,0,0,0,0,1,0,131
flat,Antriksh Green,sector 45,2.25,7826,2875,Carpet area: 2875 (267.1 sq.m.),4,4,2,9,north,Old,,,2875.0,0,1,0,0,0,2,23
flat,Mapsko Royale Ville,sector 82,1.22,7176,1700,Super Built up area 2300(213.68 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,2,3+,10,south-west,Relatively New,2300.0,2000.0,1700.0,0,1,0,1,0,0,76
flat,GLS Avenue,sector 92,0.45,7614,5319,Built Up area: 646 (60.02 sq.m.)Carpet area: 591 sq.ft. (54.91 sq.m.),2,2,1,10,na,New Property,,646.0,591.0,1,0,0,0,0,0,20
house,Independent,sector 4,0.61,10495,5229,Plot area 61(5.67 sq.m.),2,2,,2,south-east,Moderately Old,,61.0,,0,0,0,0,1,1,14
flat,Pivotal Riddhi Siddhi,sector 99,0.4,4444,8100,Super Built up area 900(83.61 sq.m.)Carpet area: 587 sq.ft. (54.53 sq.m.),2,2,2,9,na,New Property,900.0,,587.0,0,0,0,0,0,1,60
house,Independent,sector 8,0.49,11250,3195,Plot area 360(33.45 sq.m.),2,1,,3,east,Moderately Old,,360.0,,0,0,0,0,0,1,8
flat,Ramprastha The Atrium,sector 37d,0.9,6225,1446,Super Built up area 1285(119.38 sq.m.)Built Up area: 1185 sq.ft. (110.09 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),3,3,2,13,south-east,Relatively New,1285.0,1185.0,975.0,0,0,0,0,0,2,37
flat,Sare Crescent Parc Royal Greens Phase,sector 92,1.25,5832,2143,Super Built up area 2143(199.09 sq.m.),4,4,3,20,east,Relatively New,2143.0,,,0,1,0,0,0,1,60
flat,Tarc Maceo,sector 91,1.8,7758,2320,Carpet area: 2320 (215.54 sq.m.),4,3,3+,0,north,Relatively New,,,2320.0,1,0,0,1,0,2,45
flat,DLF The Skycourt,sector 86,1.55,8031,1930,Super Built up area 1930(179.3 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),3,3,3,5,south,Relatively New,1930.0,1900.0,1720.0,0,0,0,0,0,1,49
house,Independent,sector 15,1.8,10000,1797,Plot area 200(167.23 sq.m.),4,3,,1,north-east,Old,,1804.0,,0,0,0,0,0,1,16
flat,Tulip Violet,sector 69,1.68,8348,2012,Super Built up area 2010(186.74 sq.m.),4,4,2,1,south-west,Relatively New,2010.0,,,0,0,0,1,0,1,102
flat,Ace Palm Floors,sector 89,0.97,7863,1234,Carpet area: 1234 (114.64 sq.m.),2,2,2,1,na,New Property,,,1234.0,1,0,0,0,0,1,28
flat,SS Residency Residency,sector 85,1.98,8222,2408,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3,6,west,Relatively New,2408.0,2300.0,2200.0,0,0,0,0,0,1,42
flat,Umang Monsoon Breeze,sector 78,0.75,6053,1239,Built Up area: 1239 (115.11 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,1,5,east,Undefined,,1239.0,1100.0,0,0,0,0,0,1,0
flat,DLF Regal Gardens,sector 90,1.25,8116,1540,Super Built up area 1702(158.12 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),3,3,3,8,south-east,Relatively New,1702.0,1640.0,1540.0,0,0,0,1,0,1,158
house,Ansal Height Heights Palam Vihar,sector 2,2.68,17213,1560,Plot area 173(144.65 sq.m.),4,3,,3,na,Moderately Old,,1560.0,,0,0,1,0,0,0,74
flat,Shree Vardhman Flora,sector 90,0.8,5925,1350,Built Up area: 1350 (125.42 sq.m.),2,3,2,0,na,Undefined,,1350.0,,0,0,0,0,0,1,60
flat,Tulip Violet,sector 69,1.32,8411,1569,Super Built up area 1568(145.67 sq.m.),3,3,1,12,south-west,Relatively New,1568.0,,,0,0,0,1,0,0,86
flat,SS Residency Residency The Leaf,sector 85,1.25,10888,1148,Super Built up area 1741(161.74 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,17,east,Relatively New,1741.0,,1148.0,0,0,1,0,0,1,156
flat,Signature Global Solera,sector 107,0.5,7751,5805,Carpet area: 645 (59.92 sq.m.),3,2,2,6,south-east,Relatively New,,,645.0,0,0,0,0,1,1,15
flat,Oriental Valley Chs,sector 9a,1.5,9090,1650,Carpet area: 1650 (153.29 sq.m.),4,3,3+,8,na,Relatively New,,,1650.0,0,0,0,0,0,0,8
flat,Conscient Elevate,sector 59,3.9,16993,2295,Built Up area: 2295 (213.21 sq.m.),3,1,0,0,na,Undefined,,2295.0,,0,0,0,0,0,1,0
house,Independent,sector 7,2.0,13889,1442,Plot area 160(133.78 sq.m.),2,2,,2,north-west,Old,,1443.0,,0,0,0,0,0,1,22
flat,Green Court,sector 90,0.5,8333,5400,Super Built up area 700(65.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,1,8,na,New Property,700.0,,600.0,0,0,0,0,0,1,42
flat,BPTP Terra,sector 37d,1.8,8215,2191,Super Built up area 2191(203.55 sq.m.),4,3,3,12,north,Relatively New,2191.0,,,1,0,0,0,0,0,144
flat,Emaar MGF The Palm Drive,sector 66,3.98,18090,2200,Super Built up area 2200(204.39 sq.m.),3,4,3+,2,south-east,Moderately Old,2200.0,,,0,1,0,0,0,0,123
house,Eldeco Mansionz,sector 48,6.0,22222,2701,Plot area 300(250.84 sq.m.),4,4,,2,east,Moderately Old,,2706.0,,0,1,0,0,0,1,69
flat,Builder Floor,lajpat nagar,0.6,6000,1000,Super Built up area 1000(92.9 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3,2,1,3,east,New Property,1000.0,950.0,900.0,0,0,0,0,0,1,0
flat,Apna Enclave,sector 3,0.55,5789,8550,Super Built up area 950(88.26 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 744 sq.ft. (69.12 sq.m.),2,2,2,2,north-east,Old,950.0,900.0,744.0,0,0,0,0,0,1,66
flat,Signature Andour Heights,sector 71,0.37,8222,4050,Built Up area: 450 (41.81 sq.m.)Carpet area: 366.48 sq.ft. (34.05 sq.m.),1,1,2,2,north-east,Relatively New,,450.0,367.0,0,0,0,0,0,1,65
flat,Shree Shyam Residency,block a sector 21,0.23,5000,4140,Carpet area: 460 (42.74 sq.m.),1,1,1,2,south,Relatively New,,,460.0,0,0,0,0,0,1,9
house,Independent,sector 50,10.56,32593,3239,Plot area 360(301.01 sq.m.),5,2,,3,na,Moderately Old,,3247.0,,0,1,0,0,0,1,20
house,Independent,sector 4,1.1,11111,8910,Built Up area: 990 (91.97 sq.m.),3,2,,2,north,Undefined,,990.0,,0,0,0,0,0,1,0
flat,Eldeco Accolade,sohna road,0.78,5422,1439,Super Built up area 1457(135.36 sq.m.),2,2,2,7,north,Relatively New,1457.0,,,1,0,0,0,0,0,137
flat,Ansal Height Height Sushant Residency,sector 57,1.5,6775,2214,Carpet area: 246 (205.69 sq.m.),3,2,3+,1,na,Moderately Old,,,246.0,0,0,0,0,0,1,87
flat,DLF Regal Gardens,sector 90,1.24,7065,1755,Super Built up area 1755(163.04 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,9,south,Relatively New,1755.0,1600.0,1400.0,0,0,0,0,1,1,72
house,Independent,sector 23,1.2,6230,1926,Plot area 214(178.93 sq.m.)Built Up area: 1500 sq.yards (1254.19 sq.m.),3,2,,3,na,New Property,,1500.0,,0,0,0,0,0,0,79
flat,Supertech Araville,sector 79,1.0,6535,1530,Carpet area: 1530 (142.14 sq.m.),2,2,3,4,na,Relatively New,,,1530.0,1,0,0,0,0,1,24
flat,Raheja Sampada,sector 92,0.65,4744,1370,Super Built up area 1370(127.28 sq.m.),3,2,3,6,north-east,Relatively New,1370.0,,,0,0,0,0,0,1,49
flat,Zara Aavaas,sector 104,0.65,8519,6867,Carpet area: 763 (70.89 sq.m.),3,2,2,7,na,New Property,,,763.0,0,0,0,0,0,1,65
house,Vatika India Next,sector 82,7.0,21896,3196,Plot area 360(33.45 sq.m.)Built Up area: 3900 sq.ft. (362.32 sq.m.)Carpet area: 3743 sq.ft. (347.74 sq.m.),4,4,,3,north-east,Relatively New,,3900.0,3743.0,0,1,0,0,0,2,105
flat,SS Residency Residency The Leaf,sector 85,2.15,10924,1968,Super Built up area 2812(261.24 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4,2,3+,6,south,Relatively New,2812.0,,1968.0,0,1,0,0,0,1,156
flat,Ireo The Corridors,sector 67a,2.0,11580,1727,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3,3,2,6,na,Undefined,1727.0,,1017.0,0,0,0,0,1,1,15
flat,Sidhartha Ncr One Phase,sector 95,0.55,4867,1130,Carpet area: 1130 (104.98 sq.m.),2,2,2,14,na,New Property,,,1130.0,1,0,0,0,0,1,90
flat,BPTP Terra,sector 37d,1.72,9497,1811,Super Built up area 1811(168.25 sq.m.)Carpet area: 996.3 sq.ft. (92.56 sq.m.),3,3,3,9,south,Relatively New,1811.0,,996.0,1,0,0,0,0,0,24
flat,Signature Global Solera,sector 107,0.35,6398,4923,Carpet area: 547 (50.82 sq.m.),2,2,2,8,south,Relatively New,,,547.0,0,0,0,0,0,1,45
flat,Smart World Orchard,sector 61,1.58,13739,1150,Carpet area: 1150 (106.84 sq.m.),2,2,2,3,south,New Property,,,1150.0,1,0,0,0,0,1,15
house,Independent,sector 1,1.85,16003,1151,Carpet area: 1156 (107.4 sq.m.),4,3,,3,na,Undefined,,,1156.0,0,0,0,0,0,1,0
flat,Ansal Height Height Heights,sector 92,0.6,4546,1320,Super Built up area 1320(122.63 sq.m.),2,2,3,11,na,Undefined,1320.0,,,0,0,0,0,1,1,23
flat,Chintels Paradiso,sector 109,1.8,8866,2030,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,0,east,Moderately Old,2030.0,,1785.0,0,1,0,0,0,1,83
flat,Pioneer Araya,sector 62,9.2,19943,4613,Super Built up area 4613(428.56 sq.m.)Carpet area: 3203 sq.ft. (297.57 sq.m.),4,2,3,5,south,Relatively New,4613.0,,3203.0,0,1,0,1,0,0,156
flat,Tulip Violet,sector 69,1.51,9569,1578,Super Built up area 1578(146.6 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,2,0,west,Relatively New,1578.0,,1100.0,0,0,0,1,0,2,165
flat,Sare Homes,sector 92,0.68,5238,1298,Carpet area: 1298 (120.59 sq.m.),3,3,2,11,north-west,Relatively New,,,1298.0,0,0,0,1,0,1,100
flat,Sobha City,sector 108,2.5,14611,1711,Super Built up area 1711(158.96 sq.m.)Built Up area: 1480 sq.ft. (137.5 sq.m.)Carpet area: 1111.44 sq.ft. (103.26 sq.m.),3,3,2,19,east,New Property,1711.0,1480.0,1111.0,0,0,0,0,0,1,166
house,Independent,sector 4,0.55,4074,1345,Plot area 1350(125.42 sq.m.),3,3,,2,south,Relatively New,,1350.0,,0,0,0,0,1,1,7
flat,Ambience Creacions,sector 22,2.4,17391,1380,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,2,8,south-east,Relatively New,1380.0,1200.0,900.0,0,0,0,0,1,2,112
house,Independent,sector 25,10.5,29032,3616,Plot area 402(336.12 sq.m.),5,2,,3,east,Moderately Old,,3625.0,,1,1,0,1,0,1,42
flat,Sobha City,sector 108,2.6,15195,1711,Super Built up area 1711(158.96 sq.m.),3,3,2,11,south,New Property,1711.0,,,0,0,0,0,0,1,49
flat,Ireo Skyon,sector 60,2.5,16129,1550,Super Built up area 1550(144 sq.m.),2,1,2,4,north-west,Relatively New,1550.0,,,1,0,0,0,0,1,100
flat,Conscient One,sector 109,1.7,17617,8685,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),1,1,2,9,na,Undefined,,965.0,628.0,0,0,0,0,0,1,0
house,Independent,sector 2,1.0,8230,1216,Plot area 135(112.88 sq.m.),3,3,,3,north,Moderately Old,,1217.0,,0,0,0,1,0,1,0
flat,Tulip Leaf,sector 69,2.06,11386,1809,Super Built up area 1812(168.34 sq.m.),3,3,3,16,south-west,Relatively New,1812.0,,,0,0,0,0,0,1,49
flat,M Merlin,sector 67,3.39,14376,2358,Super Built up area 2358(219.07 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3,14,east,Relatively New,2358.0,2100.0,2000.0,0,1,0,0,0,0,26
flat,Ramprastha Skyz,sector 37d,1.25,7250,1724,Built Up area: 1725 (160.26 sq.m.),3,3,3+,2,north-east,New Property,,1725.0,,0,0,0,0,0,1,8
flat,Antriksh Heights,sector 84,0.69,5111,1350,Super Built up area 1350(125.42 sq.m.),2,2,3+,8,west,Relatively New,1350.0,,,1,0,0,0,0,1,59
flat,SS Residency Residency The Leaf,sector 85,2.1,7467,2812,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7,north,Relatively New,2812.0,2600.0,2400.0,1,1,0,1,0,1,49
flat,Emaar MGF The Palm Drive,sector 66,3.5,15901,2201,Super Built up area 2201(204.48 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,1,2,4,south,Relatively New,2201.0,2200.0,1800.0,1,0,0,0,0,1,89
house,Signature Global City,sector 92,0.75,7820,8613,Built Up area: 959 (89.09 sq.m.),2,2,,1,na,Undefined,,959.0,,0,0,0,0,0,1,59
flat,M Sierra,sector 68,1.2,9000,1333,Super Built up area 1250(116.13 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2,2,3,1,north,Relatively New,1250.0,,750.0,0,0,0,0,0,2,76
flat,DLF Icon,sector 43,5.8,20707,2801,Built Up area: 2801 (260.22 sq.m.),4,4,3+,18,na,Undefined,,2801.0,,0,0,0,0,0,1,0
flat,Sidhivinayak Apartments,sector 55,1.9,10555,1800,Carpet area: 1800 (167.23 sq.m.),4,3,3+,9,north,Moderately Old,,,1800.0,0,0,0,1,0,2,35
flat,Imperia Elvedor,sector 37c,0.55,8221,6021,Built Up area: 669 (62.15 sq.m.),1,1,0,5,na,Undefined,,669.0,,0,0,0,0,0,1,0
flat,DLF Regal Gardens,sector 90,1.25,10416,1200,Super Built up area 1702(158.12 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,18,north,Moderately Old,1702.0,,1200.0,0,1,0,0,0,1,100
house,DLF City Plots Phase,sector 25,10.75,29901,3595,Plot area 400(334.45 sq.m.),3,3,,3,south-west,Old,,3607.0,,0,1,1,1,0,1,73
flat,Ramsons Kshitij,sector 95,0.22,6470,3060,Super Built up area 340(31.59 sq.m.),1,1,1,2,na,New Property,340.0,,,0,0,0,0,0,1,0
flat,Cghs Hewo Apartments,sector 31,1.25,11574,1080,Carpet area: 1080 (100.34 sq.m.),2,2,2,2,na,Old,,,1080.0,0,0,0,0,0,1,28
flat,Adani M Oyster Grande,sector 102,2.4,9305,2579,Super Built up area 2579(239.6 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,4,3+,3,north-east,Relatively New,2579.0,,2100.0,1,0,0,0,0,0,49
house,Signature Global Park,sohna road,0.85,7589,1119,Built Up area: 1120 (104.05 sq.m.),3,2,,1,na,New Property,,1120.0,,0,0,0,0,0,1,15
flat,Corona Optus,sector 37c,1.44,7236,1990,Super Built up area 1990(184.88 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3+,2,north-west,Relatively New,1990.0,,1600.0,1,1,0,0,1,1,49
flat,Vatika Sovereign Next,sector 82a,3.85,7500,5133,Carpet area: 5140 (477.52 sq.m.),5,2,3+,6,na,New Property,,,5140.0,0,1,0,1,0,1,148
flat,Mapsko Mount Ville,sector 79,1.3,8724,1490,Super Built up area 1490(138.43 sq.m.)Built Up area: 1176 sq.ft. (109.25 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,19,east,Relatively New,1490.0,1176.0,864.0,0,0,1,0,0,0,102
