property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,area_in_sq_ft,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Godrej Summit Premia Towers,Sector 104,0.9,7149.0,1259.0,Built Up area: 1259 (116.96 sq.m.),2,2,0,16,na,Undefined,,,1259.0,,0,0,0,0,0,0,0
flat,Ardee City,Sector 52,1.5,9146.0,1640.0,Super Built up area 1640(152.36 sq.m.),4,4,3,3,na,Old,,1640.0,,,0,0,0,0,0,0,65
flat,M One Key Resiments,Sector 67,0.8,13115.0,610.0,Built Up area: 610 (56.67 sq.m.),1,1,0,0,na,Undefined,,,610.0,,0,0,0,0,0,0,0
flat,Ansal Height Height Heights,Sector 86,1.25,7396.0,1690.0,Super Built up area 1690(157.01 sq.m.),3,2,1,11,na,New Property,,1690.0,,,0,0,0,0,0,0,45
flat,MVN Athens,Sohna Road,0.26,5397.0,482.0,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2,na,Relatively New,,,,481.79,0,0,0,0,0,0,37
flat,Signature The Serenas,Sohna Road,0.42,7909.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,12,na,New Property,,,,531.0,0,0,0,0,0,0,54
flat,Sushant Lok  Builder Floors,Sector 43,2.5,12920.0,1935.0,Super Built up area 215(179.77 sq.m.),3,3,2,2,na,New Property,,215.0,,,0,0,0,0,0,0,0
flat,Umang Monsoon Breeze,Sector 78,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),3,3,2,1,na,Moderately Old,,1950.0,1900.0,1854.0,0,1,0,1,0,0,65
flat,GLS Avenue,Sector 92,0.42,7106.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,4,east,Relatively New,,,,591.0,1,0,0,1,0,2,42
flat,Signature Global Solera,Sector 107,0.5,7692.0,650.0,Super Built up area 546(50.73 sq.m.),2,2,1,11,na,Relatively New,,546.0,,,0,0,0,0,0,0,55
flat,Supertech Araville,Sector 79,0.9,5883.0,1530.0,Super Built up area 1530(142.14 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),2,2,3,5,na,Relatively New,,1530.0,1450.0,1400.0,1,0,0,0,0,0,53
flat,Greenopolis,Sector 89,1.3,6806.0,1910.0,Carpet area: 1910 (177.44 sq.m.),3,3,3+,1,south-west,New Property,,,,1910.0,0,1,0,0,0,0,35
