property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
flat,Sector 70,1416,New Property,3,4,0,0,0,2,Semi-furnished,Low,High-rise,0.99
flat,Sector 89,1910,New Property,3,3,0,0,0,0,Semi-furnished,Medium,High-rise,0.9
flat,Sector 67,2023,Relatively New,3,3,0,1,0,3+,Un-furnished,High,Skyscraper,3.05
flat,Sector 85,2017,Relatively New,4,2,0,1,0,3+,Un-furnished,Medium,High-rise,1.49
house,Sector 25,1939,Relatively New,2,1,1,0,1,3,Un-furnished,Medium,Mid-rise,7.6
flat,Sector 2,1416,Moderately Old,2,2,1,0,0,3,Semi-furnished,Medium,Mid-rise,1.26
flat,Sector 84,483,Relatively New,2,2,0,0,1,1,Un-furnished,Medium,Low-rise,0.34
flat,Sector 80,2047,Moderately Old,3,3,0,1,0,3,Semi-furnished,Average,Mid-rise,1.6
flat,Sector 103,1620,Relatively New,3,3,1,0,0,3+,Un-furnished,High,Low-rise,1.35
house,Sector 26,4527,New Property,4,2,1,1,1,1,Un-furnished,High,Mid-rise,20.0
flat,Sector 92,2093,Relatively New,4,3,0,1,0,3,Semi-furnished,Medium,Mid-rise,1.22
flat,Sector 65,1821,Relatively New,3,3,1,1,0,3,Semi-furnished,Average,Mid-rise,2.65
flat,Sohna Road,1319,Relatively New,2,2,1,0,0,2,Un-furnished,Medium,Mid-rise,0.78
flat,Sohna Road,1273,Relatively New,3,3,0,0,0,3,Semi-furnished,High,Low-rise,0.7
flat,Sector 85,2600,Relatively New,4,4,1,1,0,3,Semi-furnished,Average,Mid-rise,2.1
flat,Sector 90,2468,Moderately Old,4,4,0,1,0,3+,Semi-furnished,Average,High-rise,2.0
flat,Sector 95,1300,Relatively New,2,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,0.43
flat,Sector 104,745,Relatively New,3,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,0.49
flat,Sector 83,1575,Relatively New,3,3,0,0,1,2,Un-furnished,High,Low-rise,1.0
house,Sector 13,4960,Old,4,2,0,0,0,1,Semi-furnished,Low,Low-rise,4.5
flat,Sector 85,2300,Relatively New,3,4,0,0,0,3,Semi-furnished,Average,Mid-rise,1.98
flat,Sector 112,1800,Relatively New,2,3,1,1,0,2,Semi-furnished,Medium,Mid-rise,2.8
flat,Sector 30,1300,Old,3,2,0,0,0,2,Furnished,Medium,Low-rise,1.45
flat,Sector 84,1619,New Property,3,3,0,1,1,2,Un-furnished,Medium,Low-rise,1.48
house,Sector 49,2000,Moderately Old,3,3,0,1,1,3,Semi-furnished,Average,Low-rise,4.05
flat,Sector 109,3008,New Property,4,1,0,0,0,0,Semi-furnished,Low,Basement/Ground Floor,1.6
flat,Sector 70,1222,Relatively New,2,2,1,0,0,3,Semi-furnished,Average,Mid-rise,1.15
flat,Sector 102,1676,Relatively New,3,3,0,0,0,3,Semi-furnished,Average,Mid-rise,2.0
flat,Sector 89,1946,New Property,3,3,0,1,0,3+,Semi-furnished,Average,High-rise,1.85
flat,Sector 84,1833,Relatively New,3,3,0,0,0,3,Semi-furnished,Medium,Mid-rise,0.88
flat,Sector 89,769,Relatively New,2,2,0,0,0,2,Semi-furnished,Low,Low-rise,0.42
flat,Sector 33,2129,New Property,3,3,0,1,0,3+,Semi-furnished,Medium,High-rise,1.9
